raison_sociale;libelle_region;cat;finess;Sources;tdp_c_den_etbt;tdp_c_etbt;tdp_c_icbas_etbt;tdp_c_ichaut_etbt;dec_c_den_etbt;dec_c_etbt;dec_c_icbas_etbt;dec_c_ichaut_etbt;trd_c_den_etbt;trd_c_etbt;trd_c_icbas_etbt;trd_c_ichaut_etbt;dtn1_c1_den_etbt;dtn1_c1_etbt;dtn1_c1_icbas_etbt;dtn1_c1_ichaut_etbt
HL ARBOIS;Franche Comté;CH;390780187;2013;70;78.76;76.1;81.43;64;35.94;24;49;70;81.43;70;90;67;92.54;83;98
HOPITAL LOCAL POLIGNY;Franche Comté;CH;390780377;2013;77;65.63;63.81;67.46;72;6.94;2;16;77;100;100;100;74;86.49;76;93
CH CHAMPAGNOLE;Franche Comté;CH;390780591;2013;80;93.14;91.67;94.61;80;78.75;68;87;80;97.5;91;99;80;100;100;100
CH PASTEUR DOLE;Franche Comté;CH;390780609;2013;80;70.78;67.69;73.86;80;61.25;50;72;80;85;75;92;80;66.25;55;76
CENTRE DE POST CURE BLETTERANS;Franche Comté;ESPIC/EBNL;390781193;2013;80;71.55;69.58;73.51;80;16.25;9;26;80;63.75;52;74;80;87.5;78;94
INSTITUT HÉLIO-MARIN LABENNE;Aquitaine;ESPIC/EBNL;400000261;2013;80;99.6;99.21;99.98;58;96.55;88;99;80;100;100;100;77;100;100;100
CH DE MONT DE MARSAN;Aquitaine;CH;400011177;2013;80;83.88;81.87;85.89;80;96.25;89;99;80;90;81;96;80;93.75;86;98
CTRE REEDUC. FONCTION. NAPOLEON;Aquitaine;Privé;400780102;2013;80;74.62;73.63;75.6;80;92.5;84;97;80;86.25;77;93;80;67.5;56;78
CENTRE HOSPITALIER DAX;Aquitaine;CH;400780193;2013;80;81.17;79.29;83.04;80;93.75;86;98;80;61.25;50;72;80;88.75;80;95
HOPITAL SAINT SEVER;Aquitaine;CH;400780268;2013;80;89.35;87.69;91.02;80;96.25;89;99;80;73.75;63;83;80;75;64;84
CLINIQUE MAYLIS;Aquitaine;Privé;400780375;2013;43;84.09;81;87.18;41;90.24;77;97;43;74.42;59;87;43;97.67;88;99
MAISON SAINT LOUIS;Aquitaine;ESPIC/EBNL;400780383;2013;80;73.75;71.01;76.49;80;92.5;84;97;80;67.5;56;78;80;95;88;99
S.A.R.L    PRIMEROSE;Aquitaine;Privé;400780425;2013;80;94.13;92.81;95.46;80;97.5;91;99;80;40;29;52;80;97.5;91;99
LE BELVEDERE;Aquitaine;Privé;400780466;2013;80;99.23;98.66;99.81;80;95;88;99;80;100;100;100;80;95;88;99
CENTRE MED.INFANTILE MONTPRIBAT;Aquitaine;Privé;400780482;2013;80;75.92;72.07;79.77;80;61.25;50;72;80;76.25;65;85;0;;;
POLYCLINIQUE LES CHENES;Aquitaine;Privé;400782769;2013;80;67.6;65.37;69.84;80;61.25;50;72;80;21.25;13;32;80;45;34;57
CENTRE EUROPEEN DE REEDUCATION DU SPORTIF (CERS);Aquitaine;Privé;400791018;2013;80;93.77;92.62;94.91;80;100;100;100;80;100;100;100;80;87.5;78;94
C. H. DE BLOIS;Centre;CH;410000087;2013;80;81.82;79.76;83.88;80;66.25;55;76;80;17.5;10;28;80;53.75;42;65
C. H. VENDOME;Centre;CH;410000095;2013;80;84.2;81.82;86.58;76;67.11;55;78;80;98.75;93;99;80;95;88;99
C. H. ROMORANTIN LANTHENAY;Centre;CH;410000103;2013;80;88.92;87.12;90.71;80;86.25;77;93;80;47.5;36;59;80;92.5;84;97
H. L. ST AIGNAN SUR CHER;Centre;CH;410000111;2013;80;91.27;89.43;93.12;80;33.75;24;45;80;90;81;96;80;75;64;84
H.L. DE SELLES SUR CHER;Centre;CH;410000152;2013;75;99.28;98.7;99.87;72;90.28;81;96;75;100;100;100;71;69.01;57;80
INSTITUT MEDICAL DE SOLOGNE;Centre;Privé;410000418;2013;80;93.71;92;95.42;80;83.75;74;91;80;88.75;80;95;80;96.25;89;99
"CENTRE MEDICAL ""LA MENAUDIERE""";Centre;ESPIC/EBNL;410000442;2013;80;87.02;84.78;89.26;80;58.75;47;70;80;100;100;100;80;98.75;93;99
THERAE CENTRE MEDICAL;Centre;Privé;410005284;2013;80;90.84;89.23;92.46;80;86.25;77;93;80;95;88;99;80;98.75;93;99
CLINIQUE MEDICALE BUISSONNIERE;Rhône Alpes;ESPIC/EBNL;420000192;2013;80;89.17;87.03;91.3;80;97.5;91;99;80;87.5;78;94;80;90;81;96
HOPITAL LOCAL ST PIERRE DE BOEUF;Rhône Alpes;CH;420000325;2013;80;58.97;55.41;62.53;80;71.25;60;81;80;52.5;41;64;80;58.75;47;70
HOPITAL DU GIER;Rhône Alpes;CH;420002495;2013;80;89.98;87.45;92.5;80;86.25;77;93;80;73.75;63;83;80;62.5;51;73
CENTRE MUTUALISTE D'ADDICTOLOGIE;Rhône Alpes;ESPIC/EBNL;420002677;2013;80;95.18;93.86;96.51;80;53.75;42;65;80;92.5;84;97;80;73.75;63;83
LE CLOS CHAMPIROL;Rhône Alpes;Privé;420011512;2013;80;93.27;90.94;95.6;80;92.5;84;97;80;100;100;100;80;78.75;68;87
CENTRE HOSPITALIER DU FOREZ;Rhône Alpes;CH;420013831;2013;80;84.86;81.37;88.34;80;90;81;96;80;68.75;57;79;80;87.5;78;94
CENTRE HOSPITALIER DE ROANNE;Rhône Alpes;CH;420780033;2013;77;73.38;69.9;76.87;71;80.28;69;89;77;89.61;80;96;74;90.54;81;96
HOP LOCAL DE ST JUST LA PENDUE;Rhône Alpes;CH;420780041;2013;29;58.64;;;28;3.57;0;18;29;58.62;39;77;27;88.89;71;98
HOPITAL LOCAL DE CHARLIEU;Rhône Alpes;CH;420780058;2013;80;60.22;57.63;62.8;80;15;8;25;80;72.5;61;82;80;63.75;52;74
CENTRE MEDICAL DE CHAVANNE;Rhône Alpes;ESPIC/EBNL;420780348;2013;80;76.54;74.53;78.54;80;92.5;84;97;80;100;100;100;80;93.75;86;98
MAISON DE CONVALESCENCE GRAVENAND;Rhône Alpes;ESPIC/EBNL;420780579;2013;80;88.95;87.36;90.54;80;93.75;86;98;80;46.25;35;58;80;97.5;91;99
CENTRE HOSPITALIER DE FIRMINY;Rhône Alpes;CH;420780652;2013;80;81.06;78.25;83.86;80;97.5;91;99;80;73.75;63;83;80;83.75;74;91
CENTRE HOSPITALIER G. CLAUDINON;Rhône Alpes;CH;420780660;2013;80;81.27;77.93;84.62;71;87.32;77;94;80;35;25;47;80;65;53;75
HOPITAL LOCAL DE PELUSSIN;Rhône Alpes;CH;420780736;2013;80;65.51;62.56;68.46;80;46.25;35;58;80;50;39;61;80;25;16;36
CENTRE MEDICAL DES 7 COLLINES;Rhône Alpes;ESPIC/EBNL;420782096;2013;80;87.6;85.97;89.24;80;52.5;41;64;80;88.75;80;95;80;97.5;91;99
CLINIQUE NOUVELLE DU FOREZ;Rhône Alpes;Privé;420782591;2013;80;82.32;80.59;84.06;80;78.75;68;87;80;100;100;100;80;97.5;91;99
CHU SAINT ETIENNE;Rhône Alpes;CHU;420784878;2013;80;84.24;81.72;86.76;78;74.36;63;84;80;56.25;45;67;80;80;70;88
ALMA SANTE;Rhône Alpes;Privé;420793697;2013;80;85;83.05;86.95;80;63.75;52;74;80;96.25;89;99;80;63.75;52;74
C.H. EMILE ROUX LE PUY;Auvergne;CH;430000018;2013;80;70.71;67.62;73.79;80;88.75;80;95;80;100;100;100;80;90;81;96
CENTRE HOSPITALIER  BRIOUDE;Auvergne;CH;430000034;2013;80;71.52;68.5;74.55;80;90;81;96;80;41.25;30;53;80;93.75;86;98
MS CONV. ST JOSEPH - ROSIERS;Auvergne;Privé;430000141;2013;80;69.1;67.37;70.83;80;92.5;84;97;80;41.25;30;53;80;83.75;74;91
MS REP. BEAUREGARD - CHADRAC;Auvergne;Privé;430000158;2013;80;60.59;58.58;62.6;80;48.75;37;60;80;46.25;35;58;80;41.25;30;53
MS REP.  JALAVOUX - AIGUILHE;Auvergne;Privé;430000166;2013;80;74.42;73.54;75.3;80;100;100;100;80;38.75;28;50;80;91.25;83;97
CENTRE DE CONVALESCENCE - LES GENETS;Auvergne;ESPIC/EBNL;430000174;2013;59;68.32;65.31;71.33;59;86.44;75;94;59;91.53;81;97;59;81.36;69;90
MS REP. HORT MELLEYR-MONASTIER;Auvergne;Privé;430000182;2013;80;74.51;72.54;76.48;80;50;39;61;80;55;43;66;80;77.5;67;86
CENTRE MEDICAL D'OUSSOULX;Auvergne;ESPIC/EBNL;430000216;2013;80;86.67;85.04;88.3;80;70;59;80;80;98.75;93;99;80;51.25;40;63
CENTRE MEDICAL SPECIALISE LE CHAMBON SUR LIGNON;Auvergne;Privé;430007450;2013;80;91.73;89.86;93.6;80;97.5;91;99;80;70;59;80;80;38.75;28;50
CENTRE HOSPITALIER   ST-NAZAIRE;Pays de la Loire;CH;440000057;2013;78;79.38;75.92;82.84;64;53.13;40;66;78;98.72;93;99;78;84.62;75;92
CENTRE HOSPITALIER DE MAUBREUIL;Pays de la Loire;CH;440000065;2013;80;55.54;54.03;57.05;80;58.75;47;70;80;98.75;93;99;80;65;53;75
CRFF LA TOURMALINE;Pays de la Loire;ESPIC/EBNL;440000255;2013;74;62.95;60.73;65.18;74;60.81;49;72;74;75.68;64;85;74;97.3;91;99
C.H.U. DE NANTES;Pays de la Loire;CHU;440000289;2013;70;74.8;71.82;77.78;66;54.55;42;67;70;50;38;62;66;66.67;54;78
CENTRE HOSPITALIER ANCENIS;Pays de la Loire;CH;440000297;2013;80;85.37;83.4;87.34;80;53.75;42;65;80;87.5;78;94;80;80;70;88
CENTRE HOSPITALIER CHATEAUBRIANT;Pays de la Loire;CH;440000313;2013;80;81.23;78.61;83.84;80;82.5;72;90;80;90;81;96;80;68.75;57;79
HOPITAL LOCAL CORCOUE;Pays de la Loire;CH;440000347;2013;80;83.64;81.21;86.07;80;66.25;55;76;80;40;29;52;80;70;59;80
HOPITAL LOCAL DE NOZAY;Pays de la Loire;CH;440000362;2013;80;94.87;93.15;96.59;80;93.75;86;98;80;97.5;91;99;80;95;88;99
CLINIQUE BRETECHE VIAUD;Pays de la Loire;Privé;440000412;2013;80;93.36;91.6;95.11;80;100;100;100;80;100;100;100;80;96.25;89;99
CENTRE DE CONVALESCENCE SAINT SEBASTIEN;Pays de la Loire;ESPIC/EBNL;440000693;2013;80;82.9;80.48;85.32;80;83.75;74;91;80;98.75;93;99;80;90;81;96
ETAB. DE CONVAL.ROZ ARVOR;Pays de la Loire;Privé;440000701;2013;80;93.94;92.51;95.38;80;82.5;72;90;80;80;70;88;80;20;12;30
CENTRE THERAPEUTIQUE ALCOOLIQUE LA BARONNAIS;Pays de la Loire;ESPIC/EBNL;440000719;2013;80;81.05;78.75;83.35;80;3.75;1;11;80;82.5;72;90;80;81.25;71;89
HOPITAL LOCAL LOIRE ET SILLON;Pays de la Loire;CH;440000859;2013;79;86.08;83.26;88.89;70;51.43;39;64;79;88.61;79;95;73;89.04;79;95
CENTRE REEDUCATION FONCTIONNELLE PEN-BRON;Pays de la Loire;ESPIC/EBNL;440001188;2013;74;85.13;83.4;86.86;74;48.65;37;61;74;48.65;37;61;73;35.62;25;48
CENTRE DE CONVALESCENCE SOINS DE SUITE LE BODIO;Pays de la Loire;ESPIC/EBNL;440002459;2013;80;90.28;87.93;92.63;80;90;81;96;80;95;88;99;80;81.25;71;89
HOPITAL LOCAL CLISSON;Pays de la Loire;CH;440003267;2013;80;92.18;90.21;94.15;76;80.26;69;89;80;93.75;86;98;75;46.67;35;59
CENTRE DE SOINS DE SUITE LE BOIX RIGNOUX;Pays de la Loire;ESPIC/EBNL;440024669;2013;80;97.77;96.69;98.86;72;94.44;86;99;80;85;75;92;70;94.29;86;99
HIC DE LA PRESQU'ILE;Pays de la Loire;CH;440028538;2013;80;90.67;88.04;93.29;80;95;88;99;80;36.25;26;48;80;88.75;80;95
HOPITAL LOCAL INTERCOMMUNAL PAYS DE RETZ;Pays de la Loire;CH;440041531;2013;80;77.97;75.57;80.38;80;68.75;57;79;80;91.25;83;97;80;72.5;61;82
H INTERCOMMUNAL SEVRE ET LOIRE;Pays de la Loire;CH;440042141;2013;80;90.89;88.38;93.39;80;70;59;80;80;25;16;36;80;81.25;71;89
CENTRE DE SOINS SUITE SITE SAINT HENRI;Pays de la Loire;Privé;440044451;2013;80;92.02;90.19;93.85;80;72.5;61;82;80;97.5;91;99;80;81.25;71;89
CENTRE DE SOINS DE SUITE DU CONFLUENT;Pays de la Loire;Privé;440046944;2013;76;94.66;93.02;96.3;68;88.24;78;95;76;94.74;87;99;72;72.22;60;82
CENTRE DE CONVALESCENCE - OQN;Pays de la Loire;Privé;440048239;2013;80;82.4;79.74;85.05;80;91.25;83;97;80;100;100;100;80;83.75;74;91
CENTRE DE RÉADAPTATION DU CONFLUENT;Pays de la Loire;ESPIC/EBNL;440048676;2013;44;89.67;87.71;91.63;44;61.36;45;76;44;88.64;75;96;44;54.55;39;70
CLINIQUE MUTUALISTE DE L'ESTUAIRE;Pays de la Loire;ESPIC/EBNL;440050433;2013;80;88.9;86.26;91.55;80;100;100;100;80;46.25;35;58;80;87.5;78;94
C.H.R. ORLEANS;Centre;CHU;450000088;2013;80;95.47;93.94;97;71;87.32;77;94;80;98.75;93;99;80;98.75;93;99
"C.H. "" P. DEZARNAULD"" DE GIEN";Centre;CH;450000096;2013;80;61.83;59.51;64.16;80;100;100;100;80;83.75;74;91;80;33.75;24;45
C.H. AGGLOMERATION MONTARGOISE;Centre;CH;450000104;2013;80;48.77;46.83;50.72;80;70;59;80;80;17.5;10;28;80;75;64;84
C.H. DE PITHIVIERS;Centre;CH;450000112;2013;80;83.97;82.48;85.45;80;87.5;78;94;80;38.75;28;50;80;82.5;72;90
HL SULLY;Centre;CH;450000161;2013;40;85.51;81.94;89.08;35;60;42;76;40;90;76;97;36;88.89;74;97
ASSOCIATION LES BUISSONNETS;Centre;Privé;450000286;2013;80;64.7;61.5;67.9;80;72.5;61;82;80;31.25;21;43;80;20;12;30
"H. PRIVE ""SAINT JEAN"" DE BRIARE";Centre;ESPIC/EBNL;450000336;2013;80;69.67;67.29;72.06;69;60.87;48;72;80;75;64;84;73;78.08;67;87
CMPR L'A.D.A.P.T. LOIRET;Centre;ESPIC/EBNL;450000526;2013;80;96.53;95.39;97.67;80;95;88;99;80;96.25;89;99;80;98.75;93;99
MAISON  READ. FONCT.LE COTEAU;Centre;ESPIC/EBNL;450002456;2013;80;83.13;81.33;84.94;80;75;64;84;80;97.5;91;99;80;82.5;72;90
CLINIQUE DE MONTARGIS;Centre;Privé;450012968;2013;80;54.36;52.54;56.18;80;35;25;47;80;97.5;91;99;80;81.25;71;89
S.A. LA CIGOGNE;Centre;Privé;450013081;2013;80;94.04;92.67;95.41;80;60;48;71;80;91.25;83;97;78;98.72;93;99
LA REINE BLANCHE CONVALESCENCE;Centre;Privé;450013669;2013;80;65.94;62.9;68.97;80;37.5;27;49;80;98.75;93;99;80;97.5;91;99
"M. R. ET C. "" LES SABLONS""";Centre;ESPIC/EBNL;450014956;2013;80;71.63;69.57;73.68;80;86.25;77;93;80;100;100;100;80;46.25;35;58
M.C. DOMAINE DE LONGUEVE;Centre;Privé;450015144;2013;80;64.73;62.74;66.71;80;37.5;27;49;80;68.75;57;79;80;96.25;89;99
CENTRE MEDICAL LA ROSERAIE;Midi Pyrénées;ESPIC/EBNL;460000060;2013;80;91.83;89.89;93.77;80;98.75;93;99;80;83.75;74;91;80;88.75;80;95
CSSR NOTRE DAME;Midi Pyrénées;ESPIC/EBNL;460006083;2013;80;72.43;69.93;74.92;80;30;20;41;80;81.25;71;89;80;63.75;52;74
CLINIQUE DU QUERCY BELLEVUE;Midi Pyrénées;Privé;460780042;2013;80;77.67;75.47;79.87;80;42.5;31;54;80;72.5;61;82;80;75;64;84
CH FIGEAC;Midi Pyrénées;CH;460780083;2013;80;63.51;59.91;67.11;80;60;48;71;80;100;100;100;80;75;64;84
CH SAINT-CERE;Midi Pyrénées;CH;460780091;2013;80;95.87;94.55;97.18;80;83.75;74;91;80;97.5;91;99;80;91.25;83;97
SARL BEAUSEJOUR;Midi Pyrénées;Privé;460780133;2013;80;61.42;59.93;62.9;80;25;16;36;80;98.75;93;99;80;93.75;86;98
CH GOURDON;Midi Pyrénées;CH;460780208;2013;80;86.44;84.78;88.11;80;88.75;80;95;80;96.25;89;99;80;92.5;84;97
CH CAHORS;Midi Pyrénées;CH;460780216;2013;28;55.22;;;28;75;55;89;28;100;100;100;28;53.57;34;73
CLINIQUE DU RELAIS;Midi Pyrénées;Privé;460785900;2013;80;92.24;92.03;92.44;80;96.25;89;99;80;2.5;0;9;80;97.5;91;99
CLINIQUE ESQUIROL - SAINT-HILAIRE;Aquitaine;Privé;470000027;2013;80;93.58;91.65;95.51;80;91.25;83;97;80;100;100;100;80;93.75;86;98
CENTRE DELESTRAINT-FABIEN;Aquitaine;ESPIC/EBNL;470000175;2013;80;91.15;89.61;92.7;80;93.75;86;98;80;96.25;89;99;80;97.5;91;99
CENTRE DE RÉÉDUCATION FONCTIONNELLE L'ADAPT VIRAZEIL;Aquitaine;ESPIC/EBNL;470000308;2013;71;89.38;87.58;91.18;71;92.96;84;98;71;84.51;74;92;71;97.18;90;99
CENTRE HOSPITALIER AGEN;Aquitaine;CH;470000316;2013;80;89.53;86.27;92.78;80;73.75;63;83;80;97.5;91;99;80;78.75;68;87
C. H. SAINT CYR VILLENEUVE/LOT;Aquitaine;CH;470000324;2013;80;72.92;70.86;74.99;80;93.75;86;98;80;88.75;80;95;80;92.5;84;97
CENTRE HOSPITALIER NERAC;Aquitaine;CH;470000340;2013;80;78.46;76.7;80.22;80;33.75;24;45;80;16.25;9;26;80;16.25;9;26
HOPITAL LOCAL CASTELJALOUX;Aquitaine;CH;470000357;2013;80;64.43;61.78;67.08;80;37.5;27;49;80;100;100;100;80;88.75;80;95
HÔPITAL LOCAL DE PENNE D'AGENAIS;Aquitaine;CH;470000365;2013;80;83.21;80.22;86.19;80;78.75;68;87;80;63.75;52;74;80;97.5;91;99
HOP. LOC.  E. DESARNAUTS - FUMEL;Aquitaine;CH;470000407;2013;42;82.07;78.6;85.54;38;81.58;66;92;42;95.24;84;99;41;92.68;80;99
CH MARMANDE TONNEINS;Aquitaine;CH;470001660;2013;80;70.79;67.64;73.94;80;100;100;100;80;100;100;100;80;97.5;91;99
M DE REPOS ET CONV LA PALOUMERE;Aquitaine;Privé;470010364;2013;80;97.5;96.54;98.46;80;96.25;89;99;80;71.25;60;81;80;96.25;89;99
CENTRE CONVALESCENCE CCA ANTRENAS;Languedoc Roussillon;ESPIC/EBNL;480000793;2013;80;88.17;86.06;90.28;80;45;34;57;80;85;75;92;80;80;70;88
MAISON STE MARIE;Languedoc Roussillon;Privé;480000835;2013;80;92.31;90.06;94.55;80;86.25;77;93;80;70;59;80;80;90;81;96
CH MENDE;Languedoc Roussillon;CH;480780097;2013;80;83.14;80.01;86.27;80;93.75;86;98;80;100;100;100;80;91.25;83;97
"CENTRE POST CURE ALCOOLIQUE ""LE BOY""";Languedoc Roussillon;ESPIC/EBNL;480780212;2013;80;91.04;89.38;92.71;80;86.25;77;93;80;73.75;63;83;80;92.5;84;97
MAISON DE REPOS LES TILLEULS;Languedoc Roussillon;ESPIC/EBNL;480780287;2013;56;75.14;72.24;78.04;56;33.93;22;48;56;76.79;64;87;56;67.86;54;80
CENTRE DE MONTRODAT;Languedoc Roussillon;ESPIC/EBNL;480783034;2013;80;96.44;95.37;97.51;80;97.5;91;99;80;73.75;63;83;80;98.75;93;99
C.H.R.U.    ANGERS;Pays de la Loire;CHU;490000031;2013;80;80.98;78.44;83.51;71;53.52;41;65;80;96.25;89;99;80;86.25;77;93
HOPITAL LOCAL CHALONNES;Pays de la Loire;CH;490000395;2013;80;80.38;77.36;83.41;80;13.75;7;23;80;65;53;75;80;32.5;22;44
HOPITAL LOCAL DOUE LA FONTAINE;Pays de la Loire;CH;490000403;2013;80;59.88;57.18;62.58;80;17.5;10;28;80;78.75;68;87;80;57.5;46;69
HOPITAL LOCAL LONGUE JUMELLES;Pays de la Loire;CH;490000411;2013;80;89.75;87.88;91.63;80;41.25;30;53;80;100;100;100;80;73.75;63;83
HOPITAL LOCAL  MARTIGNE-BRIAND;Pays de la Loire;CH;490000429;2013;80;88.83;86.9;90.76;80;77.5;67;86;80;72.5;61;82;80;68.75;57;79
HOPITAL LOCAL POUANCE;Pays de la Loire;CH;490000437;2013;80;86.34;84.12;88.55;80;90;81;96;80;98.75;93;99;80;95;88;99
MAISON DE CONVALESCENCE LES RECOLLETS;Pays de la Loire;ESPIC/EBNL;490000601;2013;80;75.64;72.96;78.32;80;63.75;52;74;80;100;100;100;80;88.75;80;95
CENTRE MEDICAL DU CHILLON;Pays de la Loire;ESPIC/EBNL;490000643;2013;80;89.52;87.15;91.89;80;75;64;84;80;85;75;92;80;77.5;67;86
CENTRE HOSPITALIER CHOLET;Pays de la Loire;CH;490000676;2013;74;97.09;96.14;98.04;73;100;100;100;74;66.22;54;77;74;91.89;83;97
HOPITAL HOSP. CHAUDRON EN MAUGES;Pays de la Loire;ESPIC/EBNL;490000700;2013;78;78.17;75.95;80.4;70;88.57;79;95;78;100;100;100;78;97.44;91;99
MAISON DE CONVALESCENCE;Pays de la Loire;ESPIC/EBNL;490000817;2013;80;65.21;63.71;66.71;80;73.75;63;83;80;0;0;0;80;18.75;11;29
HOPITAL PRIVE BEAUPREAU;Pays de la Loire;ESPIC/EBNL;490004256;2013;80;86.67;85.01;88.32;80;66.25;55;76;80;50;39;61;80;61.25;50;72
HOPITAL LOCAL LYS HYROME;Pays de la Loire;CH;490007689;2013;80;83.41;81.2;85.62;80;40;29;52;80;91.25;83;97;80;86.25;77;93
CENTRE DE SOINS DE SUITE SAINT CLAUDE;Pays de la Loire;ESPIC/EBNL;490009248;2013;80;91.71;90.21;93.2;80;85;75;92;80;43.75;33;55;80;37.5;27;49
H INTERCOMMUNAL DU BAUGEOIS ET DE LA VALLEE;Pays de la Loire;CH;490015765;2013;80;76.68;72.59;80.78;80;43.75;33;55;80;100;100;100;80;78.75;68;87
CENTRE HOSPITALIER SAUMUR;Pays de la Loire;CH;490528452;2013;80;87.52;84.47;90.56;80;96.25;89;99;80;93.75;86;98;80;90;81;96
CENTRE REGIONAL DE REEDUCATION ET READAPTATION FONCTIONNELLES;Pays de la Loire;ESPIC/EBNL;490531910;2013;53;77.75;74.79;80.7;53;45.28;32;60;53;86.79;75;95;46;69.57;54;82
CENTRE DE CONVALESCENCE JEAN JAURES;Pays de la Loire;Privé;490534922;2013;80;53.94;50.66;57.23;80;31.25;21;43;80;60;48;71;80;57.5;46;69
MAISON DE CONVAL. DE L'ANJOU;Pays de la Loire;Privé;490543675;2013;80;77.44;75.03;79.86;80;93.75;86;98;80;86.25;77;93;80;76.25;65;85
CENTRE HOSPITALIER PUBLIC DU COTENTIN;Basse Normandie;CH;500000013;2013;80;84.24;82.51;85.97;80;83.75;74;91;80;95;88;99;80;95;88;99
HOPITAL LOCAL CARENTAN;Basse Normandie;CH;500000039;2013;80;94.02;92.28;95.76;80;92.5;84;97;80;100;100;100;80;86.25;77;93
CH AVRANCHES GRANVILLE;Basse Normandie;CH;500000054;2013;80;78.44;76.4;80.48;80;97.5;91;99;80;96.25;89;99;80;87.5;78;94
HOPITAL LOCAL DE MORTAIN;Basse Normandie;CH;500000062;2013;62;56.43;53.26;59.6;60;31.67;20;45;62;98.39;91;99;62;79.03;67;88
C H ST HILAIRE DU HARCOUET;Basse Normandie;CH;500000096;2013;80;76.43;74.33;78.52;77;87.01;77;94;80;86.25;77;93;80;92.5;84;97
POLYCLINIQUE DE LA BAIE-ST MARTIN;Basse Normandie;Privé;500000146;2013;80;94.09;92.64;95.55;80;87.5;78;94;80;100;100;100;80;96.25;89;99
POLYCLINIQUE DE LA MANCHE - SAINT-LO;Basse Normandie;Privé;500000203;2013;80;72.78;69.28;76.28;80;63.75;52;74;80;100;100;100;80;97.5;91;99
CRRF LE NORMANDY (GRANVILLE);Basse Normandie;Privé;500000229;2013;80;92.83;91.1;94.55;80;73.75;63;83;80;96.25;89;99;80;86.25;77;93
C. H.S. DE PONTORSON;Basse Normandie;CH;500000245;2013;77;89.94;87.8;92.09;67;89.55;80;96;77;46.75;35;59;76;94.74;87;99
CENTRE HOSPITALIER DE COUTANCES;Basse Normandie;CH;500000393;2013;80;79.44;76.71;82.17;80;96.25;89;99;80;88.75;80;95;80;88.75;80;95
CRF SIOUVILLE;Basse Normandie;Privé;500000419;2013;80;78.85;76.73;80.97;80;96.25;89;99;80;95;88;99;80;51.25;40;63
POLYCLINIQUE DU COTENTIN;Basse Normandie;Privé;500002357;2013;80;82.34;80.02;84.66;80;90;81;96;80;100;100;100;80;37.5;27;49
CRF WILLIAM HARVEY;Basse Normandie;Privé;500012687;2013;80;90.66;88.62;92.7;80;87.5;78;94;80;60;48;71;80;97.5;91;99
CRF LE NORMANDY II;Basse Normandie;Privé;500021423;2013;80;93.16;91.82;94.5;80;50;39;61;80;92.5;84;97;80;80;70;88
CHR DE REIMS;Champagne Ardenne;CHU;510000029;2013;80;79.09;75.84;82.34;80;80;70;88;80;86.25;77;93;80;81.25;71;89
CH CHALONS EN CHAMPAGNE;Champagne Ardenne;CH;510000037;2013;80;80.18;77.3;83.07;80;90;81;96;80;27.5;18;39;80;31.25;21;43
CLINIQUE JEAN D'ORBAIS;Champagne Ardenne;ESPIC/EBNL;510000201;2013;80;94.78;93.1;96.47;80;88.75;80;95;80;97.5;91;99;80;81.25;71;89
MRC SAINTE MARTHE;Champagne Ardenne;ESPIC/EBNL;510000292;2013;80;79.33;76.59;82.07;80;93.75;86;98;80;91.25;83;97;80;96.25;89;99
POLYCLINIQUE LES BLEUETS - REIMS;Champagne Ardenne;Privé;510012040;2013;80;64.01;61.58;66.43;80;91.25;83;97;80;92.5;84;97;80;66.25;55;76
HOPITAL LOCAL DE BOURBONNE;Champagne Ardenne;CH;520780024;2013;80;76.08;72.9;79.26;80;12.5;6;22;80;92.5;84;97;80;96.25;89;99
CENTRE HOSPITALIER DE CHAUMONT;Champagne Ardenne;CH;520780032;2013;80;80.69;78.71;82.67;80;91.25;83;97;80;87.5;78;94;80;97.5;91;99
HOPITAL LOCAL JOINVILLE;Champagne Ardenne;CH;520780040;2013;80;76.07;72.76;79.38;80;51.25;40;63;80;77.5;67;86;80;95;88;99
CENTRE HOSPITALIER DE LANGRES;Champagne Ardenne;CH;520780057;2013;76;80.03;77.4;82.66;62;46.77;34;60;76;96.05;89;99;72;84.72;74;92
HOPITAL LOCAL DE MONTIER EN DER;Champagne Ardenne;CH;520780065;2013;79;66.98;63.37;70.6;70;68.57;56;79;79;15.19;8;25;74;94.59;87;99
CH DE LA HAUTE MARNE;Champagne Ardenne;CH;520780081;2013;70;94.84;93.58;96.09;70;62.86;50;74;70;97.14;90;99;70;98.57;92;99
HOPITAL LOCAL DE WASSY;Champagne Ardenne;CH;520780099;2013;80;87.66;85.57;89.75;77;41.56;30;53;80;80;70;88;75;98.67;93;99
CLINIQUE DE LA COMPASSION;Champagne Ardenne;Privé;520780156;2013;55;61.49;58.45;64.53;54;0;0;0;55;100;100;100;55;89.09;78;96
CH INTERCOMMUNAL DU HAUT-ANJOU;Pays de la Loire;CH;530000025;2013;80;88.65;86.62;90.67;80;78.75;68;87;80;82.5;72;90;80;88.75;80;95
HOPITAL LOCAL  ERNEE;Pays de la Loire;CH;530000058;2013;80;56.93;53.12;60.74;80;23.75;15;35;80;75;64;84;80;87.5;78;94
HOPITAL LOCAL EVRON;Pays de la Loire;CH;530000066;2013;80;76.91;74.11;79.71;80;40;29;52;80;90;81;96;80;80;70;88
